Aluno,prep_score,attendance_score,homework_score,interaction_score,engajamento,cluster
Estudante 1,0.5037333333333334,0.6144,0.456,0.7073777777777778,0.6249066666666667,3
Estudante 10,0.54070796460177,0.6088495575221239,0.48584070796460177,0.7050147492625368,0.6391150442477875,3
Estudante 11,0.504320987654321,0.641358024691358,0.4638888888888889,0.7189300411522634,0.6405246913580246,3
Estudante 12,0.5374213836477988,0.6364779874213836,0.5034591194968554,0.7159329140461216,0.6557232704402515,3
Estudante 13,0.5288659793814433,0.643298969072165,0.47697594501718216,0.7095074455899197,0.6499656357388316,3
Estudante 14,0.4696969696969697,0.6007575757575757,0.41893939393939394,0.694949494949495,0.599280303030303,0
Estudante 15,0.4730593607305936,0.6054794520547945,0.4351598173515982,0.6952815829528158,0.6057077625570776,0
Estudante 16,0.44635416666666666,0.5864583333333333,0.40208333333333335,0.6826388888888889,0.580625,0
Estudante 17,0.42142857142857143,0.5821428571428572,0.3625,0.6575396825396825,0.5595238095238095,2
Estudante 18,0.47246376811594204,0.618840579710145,0.44855072463768114,0.6782608695652174,0.6116666666666666,0
Estudante 19,0.5157407407407407,0.6425925925925926,0.4546296296296296,0.7253086419753086,0.6436111111111111,3
Estudante 2,0.5242666666666667,0.6309333333333333,0.4981333333333333,0.7104,0.6473866666666667,3
Estudante 20,0.496551724137931,0.6045977011494252,0.4206896551724138,0.6559386973180076,0.6035632183908046,0
Estudante 21,0.403921568627451,0.5843137254901961,0.35294117647058826,0.6562091503267974,0.5531372549019608,2
Estudante 22,0.4307692307692308,0.5025641025641026,0.3230769230769231,0.5829059829059828,0.5074358974358975,2
Estudante 23,0.4666666666666667,0.5533333333333333,0.48,0.64,0.581,0
Estudante 24,0.40476190476190477,0.4666666666666667,0.38571428571428573,0.638095238095238,0.5042857142857142,2
Estudante 25,0.5583333333333333,0.6333333333333333,0.55,0.711111111111111,0.6691666666666667,3
Estudante 26,0.0,0.06666666666666667,0.0,0.4222222222222222,0.09333333333333332,1
Estudante 27,0.0,0.06666666666666667,0.0,0.3777777777777777,0.08666666666666667,1
Estudante 28,0.0,0.13333333333333333,0.0,0.4,0.12000000000000001,1
Estudante 3,0.5296,0.6314666666666666,0.49546666666666667,0.7274666666666667,0.6512533333333332,3
Estudante 4,0.5272,0.6197333333333334,0.47946666666666665,0.7166222222222223,0.6404266666666666,3
Estudante 5,0.5522666666666667,0.624,0.5157333333333334,0.7114666666666667,0.6563466666666666,3
Estudante 6,0.5271505376344086,0.6204301075268818,0.4852150537634409,0.7132616487455198,0.6413709677419355,3
Estudante 7,0.5639344262295082,0.6562841530054645,0.5158469945355191,0.7143897996357013,0.6748360655737705,3
Estudante 8,0.5436974789915966,0.6476190476190476,0.4843137254901961,0.7133520074696544,0.6584033613445378,3
Estudante 9,0.5185185185185185,0.6170940170940171,0.47435897435897434,0.7048433048433048,0.6338461538461537,3
